,name ,serving_size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
367,"Raisins, seedless",100 g,299,0.5g,0.1g,0,0,0,0,0.174,2.3,0.12,0.12,3.5,79.18 g,3.7 g,59.19 g,0.46 g
368,"Strawberries, raw",100 g,32,0.3g,,0,12,1,0,0.047,58.8,0.29,0.29,2.2,7.68 g,2.0 g,4.89 g,0.30 g
369,"Fish, raw, burbot",100 g,90,0.8g,0.2g,60,15,5,0.8,0.3,0,0,0,0,0.00 g,0.0 g,0,0.81 g
370,"Wheat germ, crude",100 g,360,9.7g,1.7g,0,0,0,0,1.3,0,0,0,0,51.80 g,13.2 g,0,9.72 g
371,"Wheat, hard white",100 g,342,1.7g,0.3g,0,9,0,0,0.368,0,1.01,1.01,1.9,75.90 g,12.2 g,0.41 g,1.71 g
372,"Wheat bran, crude",100 g,216,4.3g,0.6g,0,9,0,0,1.303,0,1.49,1.49,1.9,64.51 g,42.8 g,0.41 g,4.25 g
373,"Gooseberries, raw",100 g,44,0.6g,,0,290,15,0,0.08,27.7,0.37,0.37,0,10.18 g,4.3 g,0,0.58 g
374,"Spices, dill seed",100 g,305,15g,0.7g,0,53,3,0,0.25,21,0,0,0,55.17 g,21.1 g,0,14.54 g
375,"Oil, cocoa butter",100 g,884,100g,60g,0,0,0,0,0,0,1.8,1.8,24.7,0.00 g,0.0 g,0.00 g,100.00 g
376,"APPLEBEE'S, chili",100 g,157,9.8g,4.2g,45,1436,149,1.26,0.321,1.1,1.15,1.15,0,4.57 g,1.4 g,2.27 g,9.79 g
377,"Grape leaves, raw",100 g,93,2.1g,0.3g,0,27521,1376,0,0.4,11.1,2,2,108.6,17.31 g,11.0 g,6.30 g,2.12 g
378,"Kale, raw, scotch",100 g,42,0.6g,0.1g,0,3100,155,0,0.227,130,0,0,0,8.32 g,1.7 g,0,0.60 g
379,"Marmalade, orange",100 g,246,0g,,0,62,3,0,0.019,4.8,0.06,0.06,0,66.30 g,0.7 g,60.00 g,0.00 g
380,"Whey, dried, acid",100 g,339,0.5g,0.3g,3,59,17,2.5,0.62,0.9,0,0,0,73.45 g,0.0 g,73.45 g,0.54 g
381,"Whey, fluid, acid",100 g,24,0.1g,0.1g,1,7,2,0.18,0.042,0.1,0,0,0,5.12 g,0.0 g,5.12 g,0.09 g
382,"Eggplant, pickled",100 g,49,0.7g,0.1g,0,50,3,0,0.14,0,0.03,0.03,3.7,9.77 g,2.5 g,4.80 g,0.70 g
383,"Babyfood, cookies",100 g,433,13g,2.4g,12,23,6,0.46,5.899,7,0.46,0.46,1.1,67.10 g,0.2 g,24.20 g,13.20 g
384,"Fennel, raw, bulb",100 g,31,0.2g,0.1g,0,963,48,0,0.047,12,0.58,0.58,62.8,7.30 g,3.1 g,3.93 g,0.20 g
385,"Egg, dried, whole",100 g,592,44g,15g,1630,999,300,2.96,0.499,0,3.88,3.88,1.2,1.13 g,0.0 g,0.56 g,43.90 g
386,"Coffeecake, fruit",100 g,311,10g,2.5g,7,140,7,0.02,0.037,0.8,0,0,0,51.50 g,2.5 g,0,10.20 g
387,"Candies, caramels",100 g,382,8.1g,2.5g,7,42,12,0.3,0.056,0.4,0.46,0.46,1.8,77.00 g,0.0 g,65.50 g,8.10 g
388,"Sour cream, light",100 g,136,11g,6.6g,35,328,90,0.42,0.02,0.9,0.3,0.3,0.5,7.10 g,0.0 g,0.22 g,10.60 g
389,"Egg, dried, white",100 g,382,0g,,0,0,0,0.18,0.036,0,0,0,0,7.80 g,0.0 g,5.40 g,0.00 g
390,"Wild rice, cooked",100 g,101,0.3g,,0,3,0,0,0.135,0,0.24,0.24,0.5,21.34 g,1.8 g,0.73 g,0.34 g
391,"Chicken, meatless",100 g,224,13g,1.5g,0,0,0,2.18,0.7,0,2.68,2.68,0,3.64 g,3.6 g,0.00 g,12.73 g
392,"Corn grain, white",100 g,365,4.7g,0.7g,0,0,0,0,0.622,0,0,0,0,74.26 g,0,0,4.74 g
393,"Veal, raw, ground",100 g,197,13g,5.1g,49,0,0,2.28,0.446,0,0.49,0.49,1.4,0.00 g,0.0 g,0.00 g,13.06 g
394,"Wheat, soft white",100 g,340,2g,0.4g,0,9,0,0,0.378,0,1.01,1.01,1.9,75.36 g,12.7 g,0.41 g,1.99 g
395,"Elderberries, raw",100 g,73,0.5g,,0,600,30,0,0.23,36,0,0,0,18.40 g,7.0 g,0,0.50 g
396,"Nuts, raw, acorns",100 g,387,24g,3.1g,0,39,2,0,0.528,0,0,0,0,40.75 g,0,0,23.86 g
397,"Orange juice, raw",100 g,45,0.2g,,0,200,10,0,0.04,50,0.04,0.04,0.1,10.40 g,0.2 g,8.40 g,0.20 g
398,"POPEYES, Coleslaw",100 g,161,11g,1.9g,7,185,56,0,0.102,14.7,0,0,0,14.12 g,1.7 g,10.83 g,11.18 g
399,"Cabbage, raw, red",100 g,31,0.2g,,0,1116,56,0,0.209,57,0.11,0.11,38.2,7.37 g,2.1 g,3.83 g,0.16 g
400,"Blackberries, raw",100 g,43,0.5g,,0,214,11,0,0.03,21,1.17,1.17,19.8,9.61 g,5.3 g,4.88 g,0.49 g
401,"Wasabi, raw, root",100 g,109,0.6g,,0,35,2,0,0.274,41.9,0,0,0,23.54 g,7.8 g,0,0.63 g
402,"Cheese, limburger",100 g,327,27g,17g,90,1155,340,1.04,0.086,0,0.23,0.23,2.3,0.49 g,0.0 g,0.49 g,27.25 g
403,"Raspberries, raw",100 g,52,0.7g,,0,33,2,0,0.055,26.2,0.87,0.87,7.8,11.94 g,6.5 g,4.42 g,0.65 g
404,"Corn bran, crude",100 g,224,0.9g,0.1g,0,71,4,0,0.152,0,0.42,0.42,0.3,85.64 g,79.0 g,0.00 g,0.92 g
405,"Bread, rice bran",100 g,243,4.6g,0.7g,0,3,0,0,0.268,0,0.65,0.65,1,43.50 g,4.9 g,4.67 g,4.60 g
406,"Taro shoots, raw",100 g,11,0.1g,,0,50,3,0,0.111,21,0,0,0,2.32 g,0,0,0.09 g
407,"Sugars, powdered",100 g,389,0g,,0,0,0,0,0,0,0,0,0,99.77 g,0.0 g,97.81 g,0.00 g
408,"Emu, raw, ground",100 g,134,4g,1g,69,0,0,6.75,0.642,0,0.24,0.24,0,0.00 g,0.0 g,0.00 g,4.03 g
409,"Cookies, fortune",100 g,378,2.7g,0.7g,2,3,1,0.01,0.013,0,0.03,0.03,1.1,84.00 g,1.6 g,45.42 g,2.70 g
410,"Fish, raw, cisco",100 g,98,1.9g,0.4g,50,100,30,1,0.3,0,0,0,0,0.00 g,0.0 g,0,1.91 g
411,"Couscous, cooked",100 g,112,0.2g,,0,0,0,0,0.051,0,0.13,0.13,0.1,23.22 g,1.4 g,0.10 g,0.16 g
412,"Dill weed, fresh",100 g,43,1.1g,0.1g,0,7718,386,0,0.185,85,0,0,0,7.02 g,2.1 g,0,1.12 g
413,"Spearmint, dried",100 g,285,6g,1.6g,0,10579,529,0,2.579,0,0,0,0,52.04 g,29.8 g,0,6.03 g
414,"Spearmint, fresh",100 g,44,0.7g,0.2g,0,4054,203,0,0.158,13.3,0,0,0,8.41 g,6.8 g,0,0.73 g
415,Tamales (Navajo),100 g,153,6.1g,2.4g,17,0,0,0.54,0.143,1.7,0,0,0,18.12 g,3.1 g,0.99 g,6.12 g
416,"Rice bran, crude",100 g,316,21g,4.2g,0,0,0,0,4.07,0,4.92,4.92,1.9,49.69 g,21.0 g,0.90 g,20.85 g
417,"Rye flour, light",100 g,357,1.3g,0.2g,0,0,0,0,0.234,0,0.83,0.83,5.9,76.68 g,8.0 g,0.93 g,1.33 g
418,"Spices, bay leaf",100 g,313,8.4g,2.3g,0,6185,309,0,1.74,46.5,0,0,0,74.97 g,26.3 g,0,8.36 g
419,"Spices, cardamom",100 g,311,6.7g,0.7g,0,0,0,0,0.23,21,0,0,0,68.47 g,28.0 g,0,6.70 g
420,"Lemon juice, raw",100 g,22,0.2g,,0,6,0,0,0.046,38.7,0.15,0.15,0,6.90 g,0.3 g,2.52 g,0.24 g
421,"Ginger root, raw",100 g,80,0.8g,0.2g,0,0,0,0,0.16,5,0.26,0.26,0.1,17.77 g,2.0 g,1.70 g,0.75 g
422,"Fish oil, salmon",100 g,902,100g,20g,485,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,100.00 g
423,"Fish, tuna salad",100 g,187,9.3g,1.5g,13,97,24,1.2,0.081,2.2,0,0,0,9.41 g,0.0 g,0,9.26 g
424,"Orange peel, raw",100 g,97,0.2g,,0,420,21,0,0.176,136,0.25,0.25,0,25.00 g,10.6 g,0,0.20 g
425,"Blueberries, raw",100 g,57,0.3g,,0,54,3,0,0.052,9.7,0.57,0.57,19.3,14.49 g,2.4 g,9.96 g,0.33 g
426,"Cheese, muenster",100 g,368,30g,19g,96,1012,298,1.47,0.056,0,0.26,0.26,2.5,1.12 g,0.0 g,1.12 g,30.04 g
427,"Beet greens, raw",100 g,22,0.1g,,0,6326,316,0,0.106,30,1.5,1.5,400,4.33 g,3.7 g,0.50 g,0.13 g
428,"Cheese, cheshire",100 g,387,31g,19g,103,985,233,0.83,0.074,0,0,0,0,4.78 g,0.0 g,0,30.60 g
429,"Bagels, oat bran",100 g,255,1.2g,0.2g,0,4,1,0,0.043,0.2,0.33,0.33,0.4,53.30 g,3.6 g,1.63 g,1.20 g
430,"Fat, beef tallow",100 g,902,100g,50g,109,0,0,0,0,0,2.7,2.7,0,0.00 g,0.0 g,0.00 g,100.00 g
431,"Clementines, raw",100 g,47,0.2g,,0,0,0,0,0.075,48.8,0.2,0.2,0,12.02 g,1.7 g,9.18 g,0.15 g
432,"Peas, raw, green",100 g,81,0.4g,0.1g,0,765,38,0,0.169,40,0.13,0.13,24.8,14.45 g,5.7 g,5.67 g,0.40 g
433,"Oat bran, cooked",100 g,40,0.9g,0.2g,0,0,0,0,0.025,0,0,0,0,11.44 g,2.6 g,0,0.86 g
434,"Pears, bosc, raw",100 g,67,0.1g,,0,19,1,0,0.021,2.8,0.12,0.12,5.2,16.10 g,3.1 g,10.23 g,0.09 g
435,"Sugar, turbinado",100 g,399,0g,,0,0,0,0,0,0,0,0,0,99.80 g,0,99.19 g,0.00 g
436,"Headcheese, pork",100 g,157,11g,3.4g,69,0,0,1.05,0.19,0,0.25,0.25,3.4,0.00 g,0.0 g,0.00 g,10.90 g
437,Ham salad spread,100 g,216,16g,5g,37,0,0,0.76,0.15,0,1.74,1.74,0,10.64 g,0.0 g,0.00 g,15.53 g
438,"Olive loaf, pork",100 g,235,17g,5.9g,38,200,60,1.26,0.23,0,0.25,0.25,3.4,9.20 g,0.0 g,0.00 g,16.50 g
439,"Pastrami, turkey",100 g,139,6.2g,1.4g,68,12,4,0.24,0.27,8.1,0.22,0.22,0,3.34 g,0.1 g,3.34 g,6.21 g
440,"Cranberries, raw",100 g,46,0.1g,,0,63,3,0,0.057,14,1.32,1.32,5,11.97 g,3.6 g,4.27 g,0.13 g
441,"POPEYES, biscuit",100 g,401,24g,12g,2,212,64,0,0.047,0,1.02,1.02,0,40.95 g,3.8 g,3.46 g,23.71 g
442,"Egg, dried, yolk",100 g,669,59g,20g,2307,1590,477,5.11,0.742,0,4.81,4.81,1.5,0.66 g,0.0 g,0.23 g,59.13 g
443,"Quinoa, uncooked",100 g,368,6.1g,0.7g,0,14,1,0,0.487,0,2.44,2.44,0,64.16 g,7.0 g,0,6.07 g
444,"Emu, raw, oyster",100 g,141,4.9g,1.2g,81,0,0,6.76,0.643,0,0.24,0.24,0,0.00 g,0.0 g,0.00 g,4.86 g
445,"Rose-apples, raw",100 g,25,0.3g,,0,339,17,0,0,22.3,0,0,0,5.70 g,0,0,0.30 g
446,"Cheese, monterey",100 g,373,30g,19g,89,769,198,0.83,0.079,0,0.26,0.26,2.5,0.68 g,0.0 g,0.50 g,30.28 g
447,"Fish, raw, scup",100 g,105,2.7g,0.6g,52,90,27,1.4,0.3,0,0.5,0.5,0.1,0.00 g,0.0 g,0.00 g,2.73 g
448,"Cheese, cheddar",100 g,404,33g,19g,99,1242,330,1.1,0.066,0,0.71,0.71,2.4,3.09 g,0.0 g,0.48 g,33.31 g
449,"Cheese, caraway",100 g,376,29g,19g,93,1054,271,0.27,0.074,0,0,0,0,3.06 g,0.0 g,0,29.20 g
450,"Oil, wheat germ",100 g,884,100g,19g,0,0,0,0,0,0,149.4,149.4,24.7,0.00 g,0.0 g,0.00 g,100.00 g
451,"Bread, oat bran",100 g,236,4.4g,0.7g,0,5,2,0,0.073,0,0.44,0.44,1.2,39.80 g,4.5 g,7.70 g,4.40 g
452,"Watermelon, raw",100 g,30,0.2g,,0,569,28,0,0.045,8.1,0.05,0.05,0.1,7.55 g,0.4 g,6.20 g,0.15 g
453,Potato pancakes,100 g,268,15g,2.5g,95,113,32,0.29,0.448,27.6,0.23,0.23,2.7,27.81 g,3.3 g,1.79 g,14.76 g
454,Spinach souffle,100 g,172,13g,6.1g,118,2891,244,0.4,0.098,7.3,0.93,0.93,126.5,5.90 g,0.7 g,1.85 g,12.95 g
455,"Bacon, meatless",100 g,309,30g,4.6g,0,88,4,0,0.479,0,6.9,6.9,0,5.31 g,2.6 g,0.00 g,29.52 g
456,"Rosemary, fresh",100 g,131,5.9g,2.8g,0,2924,146,0,0.336,21.8,0,0,0,20.70 g,14.1 g,0,5.86 g
457,"Syrups, sorghum",100 g,290,0g,,0,0,0,0,0.67,0,0,0,0,74.90 g,0.0 g,74.90 g,0.00 g
458,"Rye flour, dark",100 g,325,2.2g,0.3g,0,11,1,0,0.443,0,2.73,2.73,5.9,68.63 g,23.8 g,2.31 g,2.22 g
459,"Oil, tomatoseed",100 g,884,100g,20g,0,0,0,0,0,0,3.8,3.8,0,0.00 g,0.0 g,0.00 g,100.00 g
460,"Croutons, plain",100 g,407,6.6g,1.5g,0,0,0,0,0.026,0,0,0,0,73.50 g,5.1 g,0,6.60 g
461,"Lemon peel, raw",100 g,47,0.3g,,0,50,3,0,0.172,129,0.25,0.25,0,16.00 g,10.6 g,4.17 g,0.30 g
462,"Spices, paprika",100 g,282,13g,2.1g,0,49254,2463,0,2.141,0.9,29.1,29.1,80.3,53.99 g,34.9 g,10.34 g,12.89 g
463,"Nectarines, raw",100 g,44,0.3g,,0,332,17,0,0.025,5.4,0.77,0.77,2.2,10.55 g,1.7 g,7.89 g,0.32 g
464,"Mulberries, raw",100 g,43,0.4g,,0,25,1,0,0.05,36.4,0.87,0.87,7.8,9.80 g,1.7 g,8.10 g,0.39 g
465,"Lotus root, raw",100 g,74,0.1g,,0,0,0,0,0.258,44,0,0,0,17.23 g,4.9 g,0,0.10 g
466,"Sauce, barbecue",100 g,172,0.6g,,0,224,11,0,0.075,0.6,0.8,0.8,1.8,40.77 g,0.9 g,33.24 g,0.63 g
467,"Fish, raw, spot",100 g,123,4.9g,1.5g,60,100,30,3,0.4,0,0,0,0,0.00 g,0.0 g,0,4.90 g
468,"Crabapples, raw",100 g,76,0.3g,,0,40,2,0,0,8,0,0,0,19.95 g,0,0,0.30 g
469,"Breadfruit, raw",100 g,103,0.2g,,0,0,0,0,0.1,29,0.1,0.1,0.5,27.12 g,4.9 g,11.00 g,0.23 g
470,Arrowroot flour,100 g,357,0.1g,,0,0,0,0,0.005,0,0,0,0,88.15 g,3.4 g,0,0.10 g
471,"Pimento, canned",100 g,23,0.3g,,0,2655,133,0,0.215,84.9,0.69,0.69,8.3,5.10 g,1.9 g,2.71 g,0.30 g
472,"Tomatillos, raw",100 g,32,1g,0.1g,0,114,6,0,0.056,11.7,0.38,0.38,10.1,5.84 g,1.9 g,3.93 g,1.02 g
473,"Raisins, seeded",100 g,296,0.5g,0.2g,0,0,0,0,0.188,5.4,0,0,0,78.47 g,6.8 g,0,0.54 g
474,"Bologna, turkey",100 g,209,16g,4.4g,75,32,9,0.23,0.243,13.3,0.45,0.45,0.3,4.68 g,0.5 g,2.90 g,16.05 g
475,Vanilla extract,100 g,288,0.1g,,0,0,0,0,0.026,0,0,0,0,12.65 g,0.0 g,12.65 g,0.06 g
476,"Fish, raw, carp",100 g,127,5.6g,1.1g,66,30,9,1.53,0.19,1.6,0.63,0.63,0.1,0.00 g,0.0 g,0.00 g,5.60 g
477,"Wheat, sprouted",100 g,198,1.3g,0.2g,0,0,0,0,0.265,2.6,0,0,0,42.53 g,1.1 g,0,1.27 g
478,"Fish, raw, cusk",100 g,87,0.7g,0.1g,41,60,18,1.04,0.387,0,0,0,0,0.00 g,0.0 g,0,0.69 g
479,"Watercress, raw",100 g,11,0.1g,,0,3191,160,0,0.129,43,1,1,250,1.29 g,0.5 g,0.20 g,0.10 g
480,"Fish, raw, ling",100 g,87,0.6g,0.1g,40,100,30,0.56,0.304,0,0,0,0,0.00 g,0.0 g,0,0.64 g
481,"Bread, cinnamon",100 g,253,5.3g,,0,4,0,0.05,0.027,0,0.5,0.5,9.5,44.38 g,3.5 g,14.11 g,5.29 g
482,"Spices, saffron",100 g,310,5.9g,1.6g,0,530,27,0,1.01,80.8,0,0,0,65.37 g,3.9 g,0,5.85 g
483,"Lime juice, raw",100 g,25,0.1g,,0,50,2,0,0.038,30,0.22,0.22,0.6,8.42 g,0.4 g,1.69 g,0.07 g
484,"Spelt, uncooked",100 g,338,2.4g,0.4g,0,10,0,0,0.23,0,0.79,0.79,3.6,70.19 g,10.7 g,6.82 g,2.43 g
485,"Cabbage, kimchi",100 g,15,0.5g,0.1g,0,93,5,0,0.213,0,0.11,0.11,43.6,2.40 g,1.6 g,1.06 g,0.50 g
486,"Seeds, flaxseed",100 g,534,42g,3.7g,0,0,0,0,0.473,0.6,0.31,0.31,4.3,28.88 g,27.3 g,1.55 g,42.16 g
487,"Cheese, gruyere",100 g,413,32g,19g,110,948,271,1.6,0.081,0,0.28,0.28,2.7,0.36 g,0.0 g,0.36 g,32.34 g
488,"Cheese, gjetost",100 g,466,30g,19g,94,1113,334,2.42,0.271,0,0,0,0,42.65 g,0.0 g,0,29.51 g
489,"Cheese, fontina",100 g,389,31g,19g,116,913,261,1.68,0.083,0,0.27,0.27,2.6,1.55 g,0.0 g,1.55 g,31.14 g
490,"Butter, salted",100 g,717,81g,51g,215,2499,684,0.17,0.003,0,2.32,2.32,7,0.06 g,0.0 g,0.06 g,81.11 g
491,"Oil, rice bran",100 g,884,100g,20g,0,0,0,0,0,0,32.3,32.3,24.7,0.00 g,0.0 g,0.00 g,100.00 g
492,"Crackers, milk",100 g,446,14g,2.9g,11,58,16,0.08,0.037,0.2,1.22,1.22,3.8,71.73 g,3.4 g,10.32 g,13.77 g
493,"Dates, medjool",100 g,277,0.2g,,0,149,7,0,0.249,0,0,0,2.7,74.97 g,6.7 g,66.47 g,0.15 g
494,"Arrowroot, raw",100 g,65,0.2g,,0,19,1,0,0.266,1.9,0,0,0,13.39 g,1.3 g,0,0.20 g
495,"Bread, oatmeal",100 g,269,4.4g,0.7g,0,16,5,0.03,0.068,0,0.48,0.48,1.5,48.50 g,4.0 g,8.14 g,4.40 g
496,"Bread, italian",100 g,271,3.5g,,0,1,0,0,0.048,0,0.29,0.29,1.2,50.10 g,3.2 g,3.17 g,3.50 g
497,"Tamarinds, raw",100 g,239,0.6g,0.3g,0,30,2,0,0.066,3.5,0.1,0.1,2.8,62.50 g,5.1 g,38.80 g,0.60 g
498,"Millet, puffed",100 g,354,3.4g,0.7g,0,0,0,0,0.36,0,0.66,0.66,1.4,80.00 g,2.7 g,0.55 g,3.40 g
499,"Vinegar, cider",100 g,21,0g,,0,0,0,0,0,0,0,0,0,0.93 g,0.0 g,0.40 g,0.00 g
500,"Scrapple, pork",100 g,213,14g,4.7g,49,2086,626,0.31,0.12,2.5,0.15,0.15,3.4,14.06 g,0.3 g,0.20 g,13.87 g
501,"Oil, poppyseed",100 g,884,100g,14g,0,0,0,0,0,0,11.4,11.4,0,0.00 g,0.0 g,0.00 g,100.00 g
502,"Oil, grapeseed",100 g,884,100g,9.6g,0,0,0,0,0,0,28.8,28.8,0,0.00 g,0.0 g,0.00 g,100.00 g
503,"Longans, dried",100 g,286,0.4g,,0,0,0,0,0,28,0,0,0,74.00 g,0,0,0.40 g
504,"Pectin, liquid",100 g,11,0g,,0,0,0,0,0,0,0,0,0,2.10 g,2.1 g,0.00 g,0.00 g
505,"Pretzels, soft",100 g,338,3.1g,0.7g,0,0,0,0,0.02,0,0.54,0.54,2.7,69.39 g,1.7 g,0.25 g,3.10 g
506,"Quinoa, cooked",100 g,120,1.9g,0.2g,0,5,0,0,0.123,0,0.63,0.63,0,21.30 g,2.8 g,0.87 g,1.92 g
507,"Plantains, raw",100 g,122,0.4g,0.1g,0,1127,56,0,0.299,18.4,0.14,0.14,0.7,31.89 g,2.3 g,15.00 g,0.37 g
508,"Parsley, fresh",100 g,36,0.8g,0.1g,0,8424,421,0,0.09,133,0.75,0.75,1640,6.33 g,3.3 g,0.85 g,0.79 g
509,"Barley, hulled",100 g,354,2.3g,0.5g,0,22,1,0,0.318,0,0.57,0.57,2.2,73.48 g,17.3 g,0.80 g,2.30 g
510,"Cheese, romano",100 g,387,27g,17g,104,415,96,1.12,0.085,0,0.23,0.23,2.2,3.63 g,0.0 g,0.73 g,26.94 g
511,Dulce de Leche,100 g,315,7.4g,4.5g,29,267,74,0.31,0.016,2.6,0.2,0.2,1.3,55.35 g,0.0 g,49.74 g,7.35 g
512,"Radicchio, raw",100 g,23,0.3g,0.1g,0,27,1,0,0.057,8,2.26,2.26,255.2,4.48 g,0.9 g,0.60 g,0.25 g
513,"Bulgur, cooked",100 g,83,0.2g,,0,2,0,0,0.083,0,0.01,0.01,0.5,18.58 g,4.5 g,0.10 g,0.24 g
514,"Tempeh, cooked",100 g,195,11g,3.4g,0,0,0,0.14,0.199,0,0,0,0,7.62 g,0,0,11.38 g
515,Chicken spread,100 g,158,18g,3.2g,56,99,30,0.13,0.15,0,0,0,0,4.05 g,0.3 g,0.47 g,17.56 g
516,"Millet, cooked",100 g,119,1g,0.2g,0,3,0,0,0.108,0,0.02,0.02,0.3,23.67 g,1.3 g,0.13 g,1.00 g
517,"Capers, canned",100 g,23,0.9g,0.2g,0,138,7,0,0.023,4.3,0.88,0.88,24.6,4.89 g,3.2 g,0.41 g,0.86 g
518,"Sapodilla, raw",100 g,83,1.1g,0.2g,0,60,3,0,0.037,14.7,0,0,0,19.96 g,5.3 g,0,1.10 g
519,"Wild rice, raw",100 g,357,1.1g,0.2g,0,19,1,0,0.391,0,0.82,0.82,1.9,74.90 g,6.2 g,2.50 g,1.08 g
520,"Arrowhead, raw",100 g,99,0.3g,,0,0,0,0,0.26,1.1,0,0,0,20.23 g,0,0,0.29 g
521,"Frog legs, raw",100 g,73,0.3g,0.1g,50,50,15,0.4,0.12,0,1,1,0.1,0.00 g,0.0 g,0.00 g,0.30 g
522,"Jackfruit, raw",100 g,95,0.6g,0.2g,0,110,5,0,0.329,13.7,0.34,0.34,0,23.25 g,1.5 g,19.08 g,0.64 g
523,"Litchis, dried",100 g,277,1.2g,0.3g,0,0,0,0,0.09,183,0.31,0.31,1.6,70.70 g,4.6 g,66.10 g,1.20 g
524,"Rutabagas, raw",100 g,37,0.2g,,0,2,0,0,0.1,25,0.3,0.3,0.3,8.62 g,2.3 g,4.46 g,0.16 g
525,"Cornsalad, raw",100 g,21,0.4g,,0,7092,355,0,0.273,38.2,0,0,0,3.60 g,0,0,0.40 g
526,"Strudel, apple",100 g,274,11g,2g,6,30,6,0.22,0.046,1.7,1.42,1.42,2.9,41.10 g,2.2 g,25.75 g,11.20 g
527,"Oil, cupu assu",100 g,884,100g,53g,0,0,0,0,0,0,0.6,0.6,0,0.00 g,0.0 g,0.00 g,100.00 g
528,"Cherimoya, raw",100 g,75,0.7g,0.2g,0,5,0,0,0.257,12.6,0.27,0.27,0,17.71 g,3.0 g,12.87 g,0.68 g
529,"Cheese, tilsit",100 g,340,26g,17g,102,1045,249,2.1,0.065,0,0,0,0,1.88 g,0.0 g,0,25.98 g
530,"Asparagus, raw",100 g,20,0.1g,,0,756,38,0,0.091,5.6,1.13,1.13,41.6,3.88 g,2.1 g,1.88 g,0.12 g
531,"Apricots, raw",100 g,48,0.4g,,0,1926,96,0,0.054,10,0.89,0.89,3.3,11.12 g,2.0 g,9.24 g,0.39 g
532,"Broccoli, raw",100 g,34,0.4g,,0,623,31,0,0.175,89.2,0.78,0.78,101.6,6.64 g,2.6 g,1.70 g,0.37 g
533,"Cheese, brick",100 g,371,30g,19g,94,1080,292,1.26,0.065,0,0.26,0.26,2.5,2.79 g,0.0 g,0.51 g,29.68 g
534,"Sugars, brown",100 g,380,0g,,0,0,0,0,0.041,0,0,0,0,98.09 g,0.0 g,97.02 g,0.00 g
535,Candied fruit,100 g,322,0.1g,,0,19,1,0,0,0,0.04,0.04,0.3,82.74 g,1.6 g,80.68 g,0.07 g
536,"Bologna, beef",100 g,299,26g,10g,57,90,19,1.19,0.157,15.2,0.56,0.56,2.4,4.29 g,0.0 g,2.05 g,26.13 g
537,Blood sausage,100 g,379,35g,13g,120,0,0,1,0.04,0,0.13,0.13,0,1.29 g,0.0 g,1.29 g,34.50 g
538,"Nuts, almonds",100 g,579,50g,3.8g,0,2,0,0,0.137,0,25.63,25.63,0,21.55 g,12.5 g,4.35 g,49.93 g
539,"Shallots, raw",100 g,72,0.1g,,0,4,0,0,0.345,8,0.04,0.04,0.8,16.80 g,3.2 g,7.87 g,0.10 g
540,"Couscous, dry",100 g,376,0.6g,0.1g,0,0,0,0,0.11,0,0,0,0,77.43 g,5.0 g,0,0.64 g
541,"Candies, hard",100 g,394,0.2g,,0,0,0,0,0.003,0,0,0,0,98.00 g,0.0 g,62.90 g,0.20 g
542,Meat extender,100 g,311,3g,0.4g,0,32,2,6,1.336,0,0,0,0,34.71 g,17.5 g,0,2.97 g
543,"Syrups, maple",100 g,260,0.1g,,0,0,0,0,0.002,0,0,0,0,67.04 g,0.0 g,60.46 g,0.06 g
544,Sorghum grain,100 g,329,3.5g,0.6g,0,0,0,0,0.443,0,0.5,0.5,0,72.09 g,6.7 g,2.53 g,3.46 g
545,"Oil, hazelnut",100 g,884,100g,7.4g,0,0,0,0,0,0,47.2,47.2,0,0.00 g,0.0 g,0.00 g,100.00 g
546,"Pepeao, dried",100 g,298,0.4g,,0,0,0,0,0.95,1.4,0,0,0,81.03 g,0,0,0.44 g
547,"Purslane, raw",100 g,20,0.4g,,0,1320,0,0,0.073,21,0,0,0,3.39 g,0,0,0.36 g
548,"Radishes, raw",100 g,16,0.1g,,0,7,0,0,0.071,14.8,0,0,1.3,3.40 g,1.6 g,1.86 g,0.10 g
549,"Rolls, french",100 g,277,4.3g,1g,0,0,0,0,0.039,0,0.3,0.3,1.8,50.20 g,3.2 g,0.31 g,4.30 g
550,"Bagels, wheat",100 g,250,1.5g,,0,0,0,0,0.147,0,0.32,0.32,1.5,48.89 g,4.1 g,6.12 g,1.53 g
551,"KFC, Coleslaw",100 g,144,8.6g,1.3g,2,4,1,0.03,0.121,14.6,0.54,0.54,70.9,15.65 g,2.0 g,13.54 g,8.64 g
552,"Parsnips, raw",100 g,75,0.3g,0.1g,0,0,0,0,0.09,17,1.49,1.49,22.5,17.99 g,4.9 g,4.80 g,0.30 g
553,"Sugars, maple",100 g,354,0.2g,,0,0,0,0,0.003,0,0,0,0,90.90 g,0.0 g,84.87 g,0.20 g
554,"Collards, raw",100 g,32,0.6g,0.1g,0,5019,251,0,0.165,35.3,2.26,2.26,437.1,5.42 g,4.0 g,0.46 g,0.61 g
555,Rice crackers,100 g,416,5g,,0,0,0,0,0.554,0,1.26,1.26,2.1,82.64 g,0.0 g,0.00 g,5.00 g
